algoritmo,episodio,recompensa,pasos,congestiones,exito
SARSA,0,90.0,11,0,True
SARSA,1,90.0,11,0,True
SARSA,2,90.0,11,0,True
SARSA,3,90.0,11,0,True
SARSA,4,90.0,11,0,True
SARSA,5,90.0,11,0,True
SARSA,6,90.0,11,0,True
SARSA,7,90.0,11,0,True
SARSA,8,90.0,11,0,True
SARSA,9,90.0,11,0,True
SARSA,10,90.0,11,0,True
SARSA,11,90.0,11,0,True
SARSA,12,90.0,11,0,True
SARSA,13,90.0,11,0,True
SARSA,14,90.0,11,0,True
SARSA,15,90.0,11,0,True
SARSA,16,90.0,11,0,True
SARSA,17,90.0,11,0,True
SARSA,18,90.0,11,0,True
SARSA,19,90.0,11,0,True
SARSA,20,90.0,11,0,True
SARSA,21,90.0,11,0,True
SARSA,22,90.0,11,0,True
SARSA,23,90.0,11,0,True
SARSA,24,90.0,11,0,True
SARSA,25,90.0,11,0,True
SARSA,26,90.0,11,0,True
SARSA,27,90.0,11,0,True
SARSA,28,90.0,11,0,True
SARSA,29,90.0,11,0,True
SARSA,30,90.0,11,0,True
SARSA,31,90.0,11,0,True
SARSA,32,90.0,11,0,True
SARSA,33,90.0,11,0,True
SARSA,34,90.0,11,0,True
SARSA,35,90.0,11,0,True
SARSA,36,90.0,11,0,True
SARSA,37,90.0,11,0,True
SARSA,38,90.0,11,0,True
SARSA,39,90.0,11,0,True
SARSA,40,90.0,11,0,True
SARSA,41,90.0,11,0,True
SARSA,42,90.0,11,0,True
SARSA,43,90.0,11,0,True
SARSA,44,90.0,11,0,True
SARSA,45,90.0,11,0,True
SARSA,46,90.0,11,0,True
SARSA,47,90.0,11,0,True
SARSA,48,90.0,11,0,True
SARSA,49,90.0,11,0,True
SARSA,50,90.0,11,0,True
SARSA,51,90.0,11,0,True
SARSA,52,90.0,11,0,True
SARSA,53,90.0,11,0,True
SARSA,54,90.0,11,0,True
SARSA,55,90.0,11,0,True
SARSA,56,90.0,11,0,True
SARSA,57,90.0,11,0,True
SARSA,58,90.0,11,0,True
SARSA,59,90.0,11,0,True
SARSA,60,90.0,11,0,True
SARSA,61,90.0,11,0,True
SARSA,62,90.0,11,0,True
SARSA,63,90.0,11,0,True
SARSA,64,90.0,11,0,True
SARSA,65,90.0,11,0,True
SARSA,66,90.0,11,0,True
SARSA,67,90.0,11,0,True
SARSA,68,90.0,11,0,True
SARSA,69,90.0,11,0,True
SARSA,70,90.0,11,0,True
SARSA,71,90.0,11,0,True
SARSA,72,90.0,11,0,True
SARSA,73,90.0,11,0,True
SARSA,74,90.0,11,0,True
SARSA,75,90.0,11,0,True
SARSA,76,90.0,11,0,True
SARSA,77,90.0,11,0,True
SARSA,78,90.0,11,0,True
SARSA,79,90.0,11,0,True
SARSA,80,90.0,11,0,True
SARSA,81,90.0,11,0,True
SARSA,82,90.0,11,0,True
SARSA,83,90.0,11,0,True
SARSA,84,90.0,11,0,True
SARSA,85,90.0,11,0,True
SARSA,86,90.0,11,0,True
SARSA,87,90.0,11,0,True
SARSA,88,90.0,11,0,True
SARSA,89,90.0,11,0,True
SARSA,90,90.0,11,0,True
SARSA,91,90.0,11,0,True
SARSA,92,90.0,11,0,True
SARSA,93,90.0,11,0,True
SARSA,94,90.0,11,0,True
SARSA,95,90.0,11,0,True
SARSA,96,90.0,11,0,True
SARSA,97,90.0,11,0,True
SARSA,98,90.0,11,0,True
SARSA,99,90.0,11,0,True
Q-Learning,0,92.0,9,0,True
Q-Learning,1,92.0,9,0,True
Q-Learning,2,92.0,9,0,True
Q-Learning,3,92.0,9,0,True
Q-Learning,4,92.0,9,0,True
Q-Learning,5,92.0,9,0,True
Q-Learning,6,92.0,9,0,True
Q-Learning,7,92.0,9,0,True
Q-Learning,8,92.0,9,0,True
Q-Learning,9,92.0,9,0,True
Q-Learning,10,92.0,9,0,True
Q-Learning,11,92.0,9,0,True
Q-Learning,12,92.0,9,0,True
Q-Learning,13,92.0,9,0,True
Q-Learning,14,92.0,9,0,True
Q-Learning,15,92.0,9,0,True
Q-Learning,16,92.0,9,0,True
Q-Learning,17,92.0,9,0,True
Q-Learning,18,92.0,9,0,True
Q-Learning,19,92.0,9,0,True
Q-Learning,20,92.0,9,0,True
Q-Learning,21,92.0,9,0,True
Q-Learning,22,92.0,9,0,True
Q-Learning,23,92.0,9,0,True
Q-Learning,24,92.0,9,0,True
Q-Learning,25,92.0,9,0,True
Q-Learning,26,92.0,9,0,True
Q-Learning,27,92.0,9,0,True
Q-Learning,28,92.0,9,0,True
Q-Learning,29,92.0,9,0,True
Q-Learning,30,92.0,9,0,True
Q-Learning,31,92.0,9,0,True
Q-Learning,32,92.0,9,0,True
Q-Learning,33,92.0,9,0,True
Q-Learning,34,92.0,9,0,True
Q-Learning,35,92.0,9,0,True
Q-Learning,36,92.0,9,0,True
Q-Learning,37,92.0,9,0,True
Q-Learning,38,92.0,9,0,True
Q-Learning,39,92.0,9,0,True
Q-Learning,40,92.0,9,0,True
Q-Learning,41,92.0,9,0,True
Q-Learning,42,92.0,9,0,True
Q-Learning,43,92.0,9,0,True
Q-Learning,44,92.0,9,0,True
Q-Learning,45,92.0,9,0,True
Q-Learning,46,92.0,9,0,True
Q-Learning,47,92.0,9,0,True
Q-Learning,48,92.0,9,0,True
Q-Learning,49,92.0,9,0,True
Q-Learning,50,92.0,9,0,True
Q-Learning,51,92.0,9,0,True
Q-Learning,52,92.0,9,0,True
Q-Learning,53,92.0,9,0,True
Q-Learning,54,92.0,9,0,True
Q-Learning,55,92.0,9,0,True
Q-Learning,56,92.0,9,0,True
Q-Learning,57,92.0,9,0,True
Q-Learning,58,92.0,9,0,True
Q-Learning,59,92.0,9,0,True
Q-Learning,60,92.0,9,0,True
Q-Learning,61,92.0,9,0,True
Q-Learning,62,92.0,9,0,True
Q-Learning,63,92.0,9,0,True
Q-Learning,64,92.0,9,0,True
Q-Learning,65,92.0,9,0,True
Q-Learning,66,92.0,9,0,True
Q-Learning,67,92.0,9,0,True
Q-Learning,68,92.0,9,0,True
Q-Learning,69,92.0,9,0,True
Q-Learning,70,92.0,9,0,True
Q-Learning,71,92.0,9,0,True
Q-Learning,72,92.0,9,0,True
Q-Learning,73,92.0,9,0,True
Q-Learning,74,92.0,9,0,True
Q-Learning,75,92.0,9,0,True
Q-Learning,76,92.0,9,0,True
Q-Learning,77,92.0,9,0,True
Q-Learning,78,92.0,9,0,True
Q-Learning,79,92.0,9,0,True
Q-Learning,80,92.0,9,0,True
Q-Learning,81,92.0,9,0,True
Q-Learning,82,92.0,9,0,True
Q-Learning,83,92.0,9,0,True
Q-Learning,84,92.0,9,0,True
Q-Learning,85,92.0,9,0,True
Q-Learning,86,92.0,9,0,True
Q-Learning,87,92.0,9,0,True
Q-Learning,88,92.0,9,0,True
Q-Learning,89,92.0,9,0,True
Q-Learning,90,92.0,9,0,True
Q-Learning,91,92.0,9,0,True
Q-Learning,92,92.0,9,0,True
Q-Learning,93,92.0,9,0,True
Q-Learning,94,92.0,9,0,True
Q-Learning,95,92.0,9,0,True
Q-Learning,96,92.0,9,0,True
Q-Learning,97,92.0,9,0,True
Q-Learning,98,92.0,9,0,True
Q-Learning,99,92.0,9,0,True
